business name,business type,business arrival time ,business end time,business duration,business load volume,names of devices passed by the business,network resources consumed by each device,network functions required for business transmission,various performance requirements of the business
VR/AR,network service,2021123005,2022010813,805695000,615,"Wireless network, transmission network, core network, application server",0.0007%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.10%, Bandwidth > 490Mbps, Latency < 25.3ms"
digital publishing,digital content provision,2022061801,2022062518,667600000,1482,"Wireless network, transmission network, core network, application server",0.0012%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 14.6ms, Bandwidth > 330Mbps"
gaming,digital content provision,2023120907,2023122202,1103237000,2533,"Wireless network, transmission network, core network, application server",0.0443%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 11.9ms
VR/AR,network service,2023052606,2023053020,397512000,676,"Wireless network, transmission network, core network, application server",0.0174%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 13.3ms, Packet Loss Rate < 0.81%, Latency < 23.1ms"
LISTSERV,communication service,2023062506,2023063016,466037000,1006,"Wireless network, transmission network, core network, application server",0.0237%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 700Mbps, Jitter < 63.1ms, Latency < 43.9ms"
online education,online service,2022012623,2022020101,437776000,4430,"Wireless network, transmission network, core network, application server",0.0573%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 21.5ms, Packet Loss Rate < 0.80%, Bandwidth > 550Mbps"
Internet Relay Chat (IRC),communication service,2023031622,2023032522,779288000,762,"Wireless network, transmission network, core network, application server",0.0018%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 940Mbps, Packet Loss Rate < 0.08%"
cloud computing services,online service,2023092719,2023100305,467029000,1117,"Wireless network, transmission network, core network, application server",0.0316%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.28%, Bandwidth > 750Mbps, Latency < 48.7ms"
video conferencing,communication service,2023061212,2023062207,844960000,507433,"Wireless network, transmission network, core network, application server",0.0766%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 920Mbps, Jitter < 73.7ms, Latency < 14.9ms"
cloud computing services,online service,2022022303,2022022800,419417000,674,"Wireless network, transmission network, core network, application server",0.0315%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.52%, Latency < 35.5ms"
online transactions,network service,2023020309,2023021321,908221000,870,"Wireless network, transmission network, core network, application server",0.0275%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 840Mbps, Jitter < 35.1ms, Packet Loss Rate < 0.96%"
online education,online service,2023120101,2023120917,750129000,303,"Wireless network, transmission network, core network, application server",0.0133%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 67.9ms, Bandwidth > 530Mbps"
cloud computing services,online service,2022120214,2022120320,106893000,709,"Wireless network, transmission network, core network, application server",0.0296%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.79%, Jitter < 48.7ms"
VoIP,communication service,2023092310,2023100323,910040000,1497,"Wireless network, transmission network, core network, application server",0.0556%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 11.6ms, Bandwidth > 970Mbps"
gaming,digital content provision,2023020521,2023020923,350234000,27593,"Wireless network, transmission network, core network, application server",0.3684%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 4.1ms
gaming,digital content provision,2022040607,2022041310,615491000,440,"Wireless network, transmission network, core network, application server",0.0160%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 26.3ms
online education,online service,2023081600,2023082604,877183000,1582,"Wireless network, transmission network, core network, application server",0.0789%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 74.5ms, Bandwidth > 430Mbps"
streaming media service,online service,2023013018,2023021010,924026000,483,"Wireless network, transmission network, core network, application server",0.0078%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 240Mbps, Jitter < 44.9ms"
gaming,digital content provision,2023040202,2023041323,1027422000,447,"Wireless network, transmission network, core network, application server",0.0130%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 87.4ms
streaming media service,online service,2023041616,2023041908,232175000,447,"Wireless network, transmission network, core network, application server",0.0132%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 66.5ms
video conferencing,communication service,2022101305,2022102207,783816000,758,"Wireless network, transmission network, core network, application server",0.0367%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 19.8ms, Packet Loss Rate < 1.00%, Jitter < 91.5ms"
digital publishing,digital content provision,2023071214,2023071814,518958000,641,"Wireless network, transmission network, core network, application server",0.0083%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 470Mbps
digital publishing,digital content provision,2023120813,2023121408,500727000,681,"Wireless network, transmission network, core network, application server",0.0020%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 360Mbps, Latency < 21.2ms"
VR/AR,network service,2023111518,2023112807,1083093000,728,"Wireless network, transmission network, core network, application server",0.1058%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.45%, Latency < 5.5ms"
online transactions,network service,2022072401,2022072519,148094000,849,"Wireless network, transmission network, core network, application server",0.0241%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 31.0ms
video conferencing,communication service,2023040202,2023041512,1158351000,1706,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 820Mbps
video conferencing,communication service,2022081503,2022082823,1195354000,2585,"Wireless network, transmission network, core network, application server",0.0598%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.16%, Latency < 46.8ms"
online transactions,network service,2023042907,2023051116,1071142000,2197,"Wireless network, transmission network, core network, application server",0.0018%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.99%, Jitter < 26.8ms, Bandwidth > 920Mbps"
gaming,digital content provision,2022080604,2022081521,840333000,639,"Wireless network, transmission network, core network, application server",0.0016%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.12%, Jitter < 3.4ms, Latency < 33.4ms"
online education,online service,2023080922,2023081214,232932000,1237,"Wireless network, transmission network, core network, application server",0.0449%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 350Mbps
online transactions,network service,2022061705,2022062817,992031000,1211,"Wireless network, transmission network, core network, application server",0.0206%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 49.0ms, Jitter < 43.8ms"
VR/AR,network service,2023013111,2023021306,1103092000,1677,"Wireless network, transmission network, core network, application server",0.0505%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 93.8ms
email,communication service,2023051312,2023052520,1065415000,886,"Wireless network, transmission network, core network, application server",0.0082%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 25.7ms, Bandwidth > 620Mbps"
gaming,digital content provision,2022110506,2022111216,640923000,1333,"Wireless network, transmission network, core network, application server",0.0258%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.31%
streaming media service,online service,2023062622,2023070821,1032089000,612,"Wireless network, transmission network, core network, application server",0.0015%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 16.1ms, Packet Loss Rate < 0.18%"
email,communication service,2023070716,2023072017,1127779000,670,"Wireless network, transmission network, core network, application server",0.0008%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 13.0ms, Packet Loss Rate < 0.08%, Jitter < 29.4ms"
gaming,digital content provision,2023040408,2023041621,1083961000,1350,"Wireless network, transmission network, core network, application server",0.0008%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 53.9ms, Bandwidth > 990Mbps"
web browsing,network service,2023072022,2023072110,42088000,1350,"Wireless network, transmission network, core network, application server",0.0008%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.86%, Jitter < 51.2ms"
email,communication service,2022050823,2022051008,119787000,1350,"Wireless network, transmission network, core network, application server",0.0009%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 41.5ms, Jitter < 39.8ms"
VoIP,communication service,2022111523,2022112818,1104753000,1775,"Wireless network, transmission network, core network, application server",0.0463%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 130Mbps, Packet Loss Rate < 0.58%, Latency < 48.8ms"
Internet Relay Chat (IRC),communication service,2023050721,2023051301,445683000,1774,"Wireless network, transmission network, core network, application server",0.0456%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 280Mbps, Packet Loss Rate < 0.64%, Jitter < 95.4ms"
VR/AR,network service,2023020700,2023021011,298662000,1494,"Wireless network, transmission network, core network, application server",0.0455%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 67.6ms
gaming,digital content provision,2022070102,2022071208,969342000,758,"Wireless network, transmission network, core network, application server",0.0205%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 110Mbps
web browsing,network service,2023032417,2023040802,1241476000,1987,"Wireless network, transmission network, core network, application server",0.0445%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 44.4ms
VR/AR,network service,2023100708,2023101316,545161000,577,"Wireless network, transmission network, core network, application server",0.0159%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 16.9ms
web browsing,network service,2023020409,2023021718,1155277000,1372,"Wireless network, transmission network, core network, application server",0.0634%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 320Mbps
digital publishing,digital content provision,2023040321,2023040519,165501000,975,"Wireless network, transmission network, core network, application server",0.0052%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 46.7ms, Bandwidth > 980Mbps"
video conferencing,communication service,2023050211,2023051010,690775000,1550,"Wireless network, transmission network, core network, application server",0.0597%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 670Mbps
VR/AR,network service,2022112705,2022120806,953603000,1501,"Wireless network, transmission network, core network, application server",0.0446%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 670Mbps
online education,online service,2022051515,2022052708,1012184000,554,"Wireless network, transmission network, core network, application server",0.0235%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 400Mbps, Latency < 24.5ms"
online education,online service,2022081121,2022081818,594284000,986,"Wireless network, transmission network, core network, application server",0.0199%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 890Mbps
gaming,digital content provision,2022032018,2022033120,956658000,743,"Wireless network, transmission network, core network, application server",0.0286%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 34.4ms, Bandwidth > 710Mbps"
digital publishing,digital content provision,2023051902,2023052501,515449000,682,"Wireless network, transmission network, core network, application server",0.0263%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 41.7ms, Packet Loss Rate < 0.59%"
email,communication service,2022123001,2022123119,151995000,1286,"Wireless network, transmission network, core network, application server",0.0299%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.42%
web browsing,network service,2023093006,2023093021,54526000,681,"Wireless network, transmission network, core network, application server",0.0262%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.17%, Bandwidth > 440Mbps"
cloud computing services,online service,2022041600,2022041805,191749000,1530,"Wireless network, transmission network, core network, application server",0.0335%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 32.0ms, Latency < 19.1ms"
email,communication service,2022042508,2022050606,943693000,682,"Wireless network, transmission network, core network, application server",0.0206%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 62.0ms
LISTSERV,communication service,2023021101,2023022118,925564000,743,"Wireless network, transmission network, core network, application server",0.0011%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.16%, Jitter < 46.7ms, Bandwidth > 260Mbps"
video conferencing,communication service,2022112300,2022120504,1049753000,443,"Wireless network, transmission network, core network, application server",0.0217%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 14.0ms, Bandwidth > 500Mbps, Jitter < 62.6ms"
LISTSERV,communication service,2023041117,2023041304,124157000,1166,"Wireless network, transmission network, core network, application server",0.0209%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 49.5ms, Bandwidth > 120Mbps, Packet Loss Rate < 0.77%"
gaming,digital content provision,2022011002,2022011909,802494000,1290,"Wireless network, transmission network, core network, application server",0.0375%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 35.1ms, Latency < 49.8ms, Packet Loss Rate < 0.87%"
digital publishing,digital content provision,2021122423,2022010804,1226424000,585,"Wireless network, transmission network, core network, application server",0.0231%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 40.4ms, Jitter < 73.5ms, Packet Loss Rate < 0.23%"
streaming media service,online service,2023072103,2023072121,65241000,609,"Wireless network, transmission network, core network, application server",0.0246%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.96%
VoIP,communication service,2023083023,2023091319,1192937000,625,"Wireless network, transmission network, core network, application server",0.0269%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 31.1ms, Packet Loss Rate < 0.10%"
streaming media service,online service,2022082921,2022090606,635558000,551,"Wireless network, transmission network, core network, application server",0.0222%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 9.7ms
gaming,digital content provision,2022082600,2022082901,261492000,569,"Wireless network, transmission network, core network, application server",0.0245%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 160Mbps, Jitter < 18.8ms"
web browsing,network service,2023090412,2023091114,610199000,647,"Wireless network, transmission network, core network, application server",0.0232%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 500Mbps, Packet Loss Rate < 0.55%"
Internet Relay Chat (IRC),communication service,2023050118,2023051022,791446000,1588,"Wireless network, transmission network, core network, application server",0.0631%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.78%, Latency < 38.1ms, Jitter < 61.7ms"
LISTSERV,communication service,2023042406,2023050223,753673000,1639,"Wireless network, transmission network, core network, application server",0.0571%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 760Mbps, Packet Loss Rate < 0.28%, Jitter < 56.5ms"
VR/AR,network service,2022072112,2022073110,855478000,2845,"Wireless network, transmission network, core network, application server",0.1064%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 11.1ms
online transactions,network service,2022060204,2022060211,26973000,1660,"Wireless network, transmission network, core network, application server",0.0621%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.03%, Latency < 5.2ms, Jitter < 78.9ms"
email,communication service,2023052313,2023052906,492750000,1645,"Wireless network, transmission network, core network, application server",0.0550%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 43.8ms, Jitter < 1.7ms, Bandwidth > 930Mbps"
online transactions,network service,2022010811,2022011008,162237000,2007,"Wireless network, transmission network, core network, application server",0.0026%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 90Mbps, Latency < 43.1ms, Packet Loss Rate < 0.72%"
digital publishing,digital content provision,2023091616,2023091902,208063000,2994,"Wireless network, transmission network, core network, application server",0.0609%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.42%
gaming,digital content provision,2022021221,2022021420,169700000,1388,"Wireless network, transmission network, core network, application server",0.0028%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 30.7ms
video conferencing,communication service,2022102705,2022110218,564559000,493,"Wireless network, transmission network, core network, application server",0.0143%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 280Mbps, Jitter < 27.7ms"
online transactions,network service,2023021616,2023021922,280540000,1491,"Wireless network, transmission network, core network, application server",0.0336%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 60.7ms, Latency < 48.3ms"
digital publishing,digital content provision,2023020121,2023020510,306681000,811,"Wireless network, transmission network, core network, application server",0.0010%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 31.3ms, Packet Loss Rate < 0.32%, Latency < 45.1ms"
cloud computing services,online service,2023030321,2023030823,441109000,3448,"Wireless network, transmission network, core network, application server",0.1050%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 96.5ms, Latency < 9.6ms, Bandwidth > 130Mbps"
online education,online service,2023062800,2023070821,940723000,628,"Wireless network, transmission network, core network, application server",0.0184%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 17.2ms, Jitter < 18.8ms, Packet Loss Rate < 0.51%"
streaming media service,online service,2022060306,2022061023,665217000,1452,"Wireless network, transmission network, core network, application server",0.0334%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 710Mbps, Jitter < 85.7ms, Packet Loss Rate < 0.62%"
online transactions,network service,2023091104,2023092411,1148777000,1614,"Wireless network, transmission network, core network, application server",0.0005%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 19.0ms
VoIP,communication service,2023030613,2023031202,479241000,815,"Wireless network, transmission network, core network, application server",0.0003%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 840Mbps, Packet Loss Rate < 0.18%"
cloud computing services,online service,2023052212,2023060210,943271000,546,"Wireless network, transmission network, core network, application server",0.0072%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.10%, Bandwidth > 930Mbps, Latency < 9.0ms"
video conferencing,communication service,2022052922,2022061005,977016000,1451,"Wireless network, transmission network, core network, application server",0.0332%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 21.3ms, Latency < 13.4ms, Packet Loss Rate < 0.31%"
LISTSERV,communication service,2022060509,2022061304,675518000,51169,"Wireless network, transmission network, core network, application server",0.0260%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 27.9ms, Packet Loss Rate < 0.85%"
online education,online service,2023071615,2023072504,737325000,1139,"Wireless network, transmission network, core network, application server",0.0035%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 880Mbps, Packet Loss Rate < 0.58%"
online education,online service,2023061317,2023061903,469828000,1783,"Wireless network, transmission network, core network, application server",0.0074%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Bandwidth > 740Mbps
email,communication service,2022072018,2022072900,710471000,588,"Wireless network, transmission network, core network, application server",0.0178%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.12%, Bandwidth > 880Mbps"
video conferencing,communication service,2023040806,2023041309,440164000,754,"Wireless network, transmission network, core network, application server",0.0183%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 580Mbps, Latency < 20.2ms"
gaming,digital content provision,2023102710,2023110509,776817000,1451,"Wireless network, transmission network, core network, application server",0.0328%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.23%
online education,online service,2022070505,2022071205,604037000,916,"Wireless network, transmission network, core network, application server",0.0021%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 22.5ms, Packet Loss Rate < 0.06%, Bandwidth > 560Mbps"
digital publishing,digital content provision,2023070814,2023072208,1190525000,6571,"Wireless network, transmission network, core network, application server",0.0104%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 92.9ms
digital publishing,digital content provision,2023031321,2023031600,181953000,22979,"Wireless network, transmission network, core network, application server",0.0364%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 36.2ms, Packet Loss Rate < 0.22%"
online transactions,network service,2023082521,2023090404,801307000,1630,"Wireless network, transmission network, core network, application server",0.0001%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 35.1ms
LISTSERV,communication service,2023052214,2023052401,125938000,632,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 27.8ms
gaming,digital content provision,2023060306,2023060403,77109000,830,"Wireless network, transmission network, core network, application server",0.0002%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 210Mbps, Jitter < 77.2ms, Packet Loss Rate < 0.39%"
digital publishing,digital content provision,2022110408,2022110409,3166000,622,"Wireless network, transmission network, core network, application server",0.0282%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 480Mbps, Latency < 38.8ms, Packet Loss Rate < 0.08%"
digital publishing,digital content provision,2023120300,2023120305,17198000,622,"Wireless network, transmission network, core network, application server",0.0255%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 35.0ms, Latency < 38.4ms, Bandwidth > 480Mbps"
gaming,digital content provision,2022121902,2022122007,101691000,641,"Wireless network, transmission network, core network, application server",0.0272%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 17.5ms, Bandwidth > 190Mbps"
web browsing,network service,2023013116,2023020316,260533000,828,"Wireless network, transmission network, core network, application server",0.0008%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Jitter < 85.5ms, Latency < 45.6ms"
gaming,digital content provision,2022071805,2022072512,630019000,622,"Wireless network, transmission network, core network, application server",0.0016%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 87.4ms
gaming,digital content provision,2022072518,2022080309,744890000,1249,"Wireless network, transmission network, core network, application server",0.0594%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 710Mbps, Jitter < 36.8ms, Packet Loss Rate < 0.52%"
online education,online service,2023111310,2023112208,769335000,1513,"Wireless network, transmission network, core network, application server",0.0527%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 210Mbps, Latency < 5.6ms"
online transactions,network service,2022080115,2022080422,282306000,493,"Wireless network, transmission network, core network, application server",0.0139%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.16%, Latency < 49.1ms, Bandwidth > 240Mbps"
VR/AR,network service,2023030719,2023031222,441677000,561,"Wireless network, transmission network, core network, application server",0.0255%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 890Mbps, Jitter < 29.7ms, Packet Loss Rate < 0.23%"
gaming,digital content provision,2022042100,2022050523,1292308000,676,"Wireless network, transmission network, core network, application server",0.0198%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Packet Loss Rate < 0.07%
digital publishing,digital content provision,2022103008,2022110802,756146000,565,"Wireless network, transmission network, core network, application server",0.0205%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Jitter < 44.5ms
cloud computing services,online service,2022030502,2022031911,1240637000,719,"Wireless network, transmission network, core network, application server",0.0208%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Bandwidth > 710Mbps, Packet Loss Rate < 0.62%, Latency < 3.1ms"
digital publishing,digital content provision,2023020307,2023020719,387935000,479,"Wireless network, transmission network, core network, application server",0.0130%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Latency < 38.5ms, Jitter < 58.0ms, Bandwidth > 810Mbps"
video conferencing,communication service,2022091419,2022092708,1083248000,809,"Wireless network, transmission network, core network, application server",0.0321%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content",Latency < 46.5ms
gaming,digital content provision,2023102313,2023110517,1138928000,7570,"Wireless network, transmission network, core network, application server",0.1808%,"Wireless access,Transmetropolitan transmission,Core network forwarding,application server downloads the content","Packet Loss Rate < 0.71%, Jitter < 95.9ms, Bandwidth > 250Mbps"
